사건번호,품목,hs_code,년월,규제국,중간국,수입국,규제국_중간국_수출량,규제국_수입국_수출량,규제국_중간국_수출총달러,규제국_수입국_수출총달러,규제국_중간국_단가,규제국_수입국_단가,isr_min,isr_best_lag,isr_risk
0,초산에틸(1차재심),291531,2012.11,중국,스페인,대한민국,0.0,0.0,0.0,0.0,,,-0.7775419143502353,0,0.7775419143502353
0,초산에틸(1차재심),291531,2012.03,중국,영국,대한민국,0.0,10743463.0,0.0,9911924.0,,0.922600468768776,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.04,중국,영국,대한민국,170.0,3096432.0,340.0,2978379.0,2.0,0.9618745058829,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.05,중국,영국,대한민국,850.0,8146059.0,1700.0,7633806.0,2.0,0.9371164633106635,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.06,중국,영국,대한민국,170.0,6166178.0,340.0,5900758.0,2.0,0.9569555079337638,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.07,중국,영국,대한민국,180.0,9587218.0,468.0,8172261.0,2.6,0.8524121387455673,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.08,중국,영국,대한민국,0.0,6191298.0,0.0,5554585.0,,0.8971600139421492,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.09,중국,영국,대한민국,0.0,7097925.0,0.0,6252545.0,,0.8808975862664088,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.10,중국,영국,대한민국,0.0,0.0,0.0,0.0,,,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,2012.11,중국,영국,대한민국,0.0,0.0,0.0,0.0,,,-0.7715167498104596,1,0.7715167498104596
1,PET필름(1차재심),392062,2012.05,인도,미국,대한민국,935825.0,121227.0,2211046.589,319691.095,2.362671000454145,2.6371278263093205,-0.7714285714285715,3,0.7714285714285715
1,PET필름(1차재심),392062,2012.06,인도,미국,대한민국,799064.0,104226.0,1583940.732,287113.744,1.9822451418159248,2.7547228522633507,-0.7714285714285715,3,0.7714285714285715
1,PET필름(1차재심),392062,2012.07,인도,미국,대한민국,604942.0,82765.0,1398157.925,255364.664,2.3112264068290846,3.0854185223222377,-0.7714285714285715,3,0.7714285714285715
1,PET필름(1차재심),392062,2012.08,인도,미국,대한민국,806302.0,144207.0,1772475.554,413411.975,2.1982775114039157,2.8667954745608744,-0.7714285714285715,3,0.7714285714285715
1,PET필름(1차재심),392062,2012.09,인도,미국,대한민국,614193.0,31083.0,1442742.586,91389.58,2.349005257305114,2.9401788759128786,-0.7714285714285715,3,0.7714285714285715
