case_id,item,hs_code,regulated,middle,importer,start_month,esr_lag0,esr_lag1,esr_lag2,esr_lag3,esr_min,esr_best_lag,esr_risk,mid_export_sum,imp_export_sum,sr_min,sr_best_lag,sr_risk,same_best_lag,lag_gap
48,도공(coated) 인쇄용지,4810,핀란드,말레이시아,대한민국,2024.03,0.942857142857143,0.4285714285714286,-0.5428571428571429,-0.0857142857142857,-0.5428571428571429,2,0.5428571428571429,5676928.346,13941698.0,-1.0,1,1.0,False,1
51,합판,4412,말레이시아,루마니아,대한민국,2024.07,0.1309307341415954,0.3927922024247863,,0.6546536707079772,0.1309307341415954,0,0.0,96150.0,6071785.3440000005,-1.0,3,1.0,False,3
19,PET필름(2차재심),392062,중국,이탈리아,대한민국,2016.01,0.1428571428571428,0.3714285714285715,-0.8285714285714287,-0.4285714285714286,-0.8285714285714287,2,0.8285714285714287,4494126.1620000005,6451302.9520000005,-0.942857142857143,0,0.942857142857143,False,2
13,공기압 전송용 밸브,848120,일본,폴란드,대한민국,2015.08,0.4857142857142857,0.2571428571428572,-0.7714285714285715,-0.7142857142857143,-0.7714285714285715,2,0.7714285714285715,4518.0,876860.0,-0.942857142857143,1,0.942857142857143,False,1
48,도공(coated) 인쇄용지,4810,중국,필리핀,대한민국,2024.03,0.6,0.0857142857142857,-0.7142857142857143,-0.1428571428571428,-0.7142857142857143,2,0.7142857142857143,70275716.0,45125380.0,-0.942857142857143,1,0.942857142857143,False,1
9,OPP필름,392020,태국,영국,대한민국,2013.12,-0.6982532518267538,-0.2732295333235123,-0.3339472073954039,-0.3380617018914066,-0.6982532518267538,0,0.6982532518267538,145499.0,962039.0,-0.942857142857143,3,0.942857142857143,False,3
22,합판(2차재심),4412,말레이시아,미국,대한민국,2017.05,-0.0857142857142857,0.1428571428571428,-0.6571428571428573,-0.3714285714285715,-0.6571428571428573,2,0.6571428571428573,40073629.142,66349011.328,-0.942857142857143,1,0.942857142857143,False,1
6,스테인레스스틸바(2차재심),7222,인도,스웨덴,대한민국,2013.11,-0.6546536707079772,-0.1309307341415954,0.4394802124588286,-0.3927922024247863,-0.6546536707079772,0,0.6546536707079772,26483.0,5942630.0,-0.942857142857143,3,0.942857142857143,False,3
22,합판(2차재심),4412,말레이시아,베트남,대한민국,2017.05,0.8285714285714287,-0.6,-0.3142857142857143,0.2571428571428572,-0.6,1,0.6,6184742.186000001,66349011.328,-0.942857142857143,1,0.942857142857143,True,0
36,합판,4412,베트남,벨기에,대한민국,2020.11,0.0910765111078374,0.8696565534786727,-0.3142857142857143,-0.6,-0.6,3,0.6,195866.972,108365445.341,-0.942857142857143,1,0.942857142857143,False,2
