사건번호,품목,hs_code,규제국,후보국,분석시작월,window,sr_lag0,sr_lag1,sr_lag2,sr_lag3,sr_min,sr_best_lag,sr_risk,규제국_6개월_수입합,후보국_전체기간_수입합
0,초산에틸(1차재심),291531,일본,남아프리카공화국,2012.03,6,0.030358837035945815,-0.23190841426097938,-0.20291986247835697,-0.08571428571428573,-0.23190841426097938,1,0.23190841426097938,1277.0,215.0
0,초산에틸(1차재심),291531,일본,독일,2012.03,6,-0.08571428571428573,0.08696565534786728,-0.20291986247835697,-0.40583972495671394,-0.40583972495671394,3,0.40583972495671394,1277.0,571.0
0,초산에틸(1차재심),291531,일본,미국,2012.03,6,0.17393131069573456,-0.8406680016960503,0.23190841426097938,0.8196885999705371,-0.8406680016960503,1,0.8406680016960503,1277.0,1533.0
0,초산에틸(1차재심),291531,일본,스웨덴,2012.03,6,-0.6761234037828133,0.30425553170226594,0.6546536707079772,,-0.6761234037828133,0,0.6761234037828133,1277.0,29.0
0,초산에틸(1차재심),291531,일본,스페인,2012.03,6,-0.101418510567422,-0.30425553170226594,0.2704493615131253,-0.16903085094570333,-0.30425553170226594,1,0.30425553170226594,1277.0,2337.0
0,초산에틸(1차재심),291531,일본,영국,2012.03,6,0.8804062740424288,-0.24688535993934707,-0.6172133998483678,0.49377071987869414,-0.6172133998483678,2,0.6172133998483678,1277.0,1302.0
0,초산에틸(1차재심),291531,일본,이탈리아,2012.03,6,-0.39279220242478635,0.13093073414159545,0.39279220242478635,-0.8280786712108252,-0.8280786712108252,3,0.8280786712108252,1277.0,1200.0
0,초산에틸(1차재심),291531,일본,인도,2012.03,6,-0.7714285714285715,0.5428571428571429,0.3478626213914691,-0.43482827673933633,-0.7714285714285715,0,0.7714285714285715,1277.0,5577512.0
0,초산에틸(1차재심),291531,일본,프랑스,2012.03,6,-0.13093073414159545,0.6546536707079772,,,-0.13093073414159545,0,0.13093073414159545,1277.0,102.0
0,초산에틸(1차재심),291531,중국,남아프리카공화국,2012.03,6,0.030358837035945815,-0.49280538030458115,0.5217939320872036,-0.6,-0.6,3,0.6,39160140.0,215.0
0,초산에틸(1차재심),291531,중국,독일,2012.03,6,-0.028571428571428574,0.057977103565244846,-0.20291986247835697,0.2898855178262242,-0.20291986247835697,2,0.20291986247835697,39160140.0,571.0
0,초산에틸(1차재심),291531,중국,미국,2012.03,6,-0.23190841426097938,0.0,0.6957252427829382,-0.3946648814672956,-0.3946648814672956,3,0.3946648814672956,39160140.0,1533.0
0,초산에틸(1차재심),291531,중국,스웨덴,2012.03,6,0.3718678720805473,0.2704493615131253,-0.13093073414159545,,-0.13093073414159545,2,0.13093073414159545,39160140.0,29.0
0,초산에틸(1차재심),291531,중국,스페인,2012.03,6,-0.7775419143502353,0.6761234037828133,-0.33806170189140666,0.033806170189140665,-0.7775419143502353,0,0.7775419143502353,39160140.0,2337.0
0,초산에틸(1차재심),291531,중국,영국,2012.03,6,0.030358837035945815,-0.7715167498104596,0.7406560798180413,-0.09258200997725516,-0.7715167498104596,1,0.7715167498104596,39160140.0,1302.0
0,초산에틸(1차재심),291531,중국,이탈리아,2012.03,6,-0.39279220242478635,0.6546536707079772,-0.6546536707079772,-0.2070196678027063,-0.6546536707079772,2,0.6546536707079772,39160140.0,1200.0
0,초산에틸(1차재심),291531,중국,인도,2012.03,6,0.7142857142857143,-0.14285714285714288,0.11595420713048969,-0.23190841426097938,-0.23190841426097938,3,0.23190841426097938,39160140.0,5577512.0
0,초산에틸(1차재심),291531,중국,프랑스,2012.03,6,0.39279220242478635,-0.13093073414159545,,,-0.13093073414159545,1,0.13093073414159545,39160140.0,102.0
1,PET필름(1차재심),392062,인도,대만,2012.05,6,0.028571428571428574,-0.3714285714285715,0.5428571428571429,-0.3714285714285715,-0.3714285714285715,1,0.3714285714285715,570776.0,2912913.0
1,PET필름(1차재심),392062,인도,독일,2012.05,6,0.2571428571428572,0.14285714285714288,0.48571428571428577,-0.028571428571428574,-0.028571428571428574,3,0.028571428571428574,570776.0,52262.0
1,PET필름(1차재심),392062,인도,룩셈부르그,2012.05,6,0.5428571428571429,0.14285714285714288,0.7714285714285715,0.2571428571428572,0.14285714285714288,1,0.0,570776.0,13091.0
1,PET필름(1차재심),392062,인도,말레이시아,2012.05,6,0.21251185925162072,-0.2732295333235123,-0.46381682852195877,-0.753702346348183,-0.753702346348183,3,0.753702346348183,570776.0,164008.0
1,PET필름(1차재심),392062,인도,미국,2012.05,6,1.0,0.2571428571428572,0.3714285714285715,-0.7714285714285715,-0.7714285714285715,3,0.7714285714285715,570776.0,252305.0
1,PET필름(1차재심),392062,인도,베트남,2012.05,6,,,,-0.6546536707079772,-0.6546536707079772,3,0.6546536707079772,570776.0,499.0
1,PET필름(1차재심),392062,인도,벨기에,2012.05,6,0.39279220242478635,-0.30425553170226594,0.50709255283711,-0.8451542547285166,-0.8451542547285166,3,0.8451542547285166,570776.0,1638.0
1,PET필름(1차재심),392062,인도,스위스,2012.05,6,,-0.6546536707079772,-0.13093073414159545,-0.8451542547285166,-0.8451542547285166,3,0.8451542547285166,570776.0,20.0
1,PET필름(1차재심),392062,인도,스페인,2012.05,6,-0.39279220242478635,0.39279220242478635,0.13093073414159545,0.6546536707079772,-0.39279220242478635,0,0.39279220242478635,570776.0,5.0
1,PET필름(1차재심),392062,인도,싱가포르,2012.05,6,0.3714285714285715,0.6571428571428573,0.8857142857142858,0.2571428571428572,0.2571428571428572,3,0.0,570776.0,177831.0
1,PET필름(1차재심),392062,인도,아랍에미리트 연합,2012.05,6,0.08571428571428573,-0.4285714285714286,0.2571428571428572,-0.08571428571428573,-0.4285714285714286,1,0.4285714285714286,570776.0,563231.0
1,PET필름(1차재심),392062,인도,영국,2012.05,6,0.5428571428571429,-0.5428571428571429,-0.2571428571428572,-0.14285714285714288,-0.5428571428571429,1,0.5428571428571429,570776.0,9993.0
1,PET필름(1차재심),392062,인도,오스트리아,2012.05,6,0.3718678720805473,-0.09107651110783746,-0.2732295333235123,-0.4394802124588286,-0.4394802124588286,3,0.4394802124588286,570776.0,3284.0
1,PET필름(1차재심),392062,인도,이탈리아,2012.05,6,0.6375355777548621,-0.33394720739540396,-0.5161002296110789,-0.9276336570439175,-0.9276336570439175,3,0.9276336570439175,570776.0,17296.0
1,PET필름(1차재심),392062,인도,인도네시아,2012.05,6,0.48571428571428577,0.7714285714285715,0.08571428571428573,0.14285714285714288,0.08571428571428573,2,0.0,570776.0,2220681.0
1,PET필름(1차재심),392062,인도,일본,2012.05,6,0.14285714285714288,-0.5428571428571429,0.08571428571428573,-0.14285714285714288,-0.5428571428571429,1,0.5428571428571429,570776.0,13846740.0
1,PET필름(1차재심),392062,인도,캐나다,2012.05,6,0.6761234037828133,0.6546536707079772,,,0.6546536707079772,1,0.0,570776.0,120.0
1,PET필름(1차재심),392062,인도,태국,2012.05,6,0.48571428571428577,-0.14285714285714288,0.08571428571428573,-0.5428571428571429,-0.5428571428571429,3,0.5428571428571429,570776.0,2551966.0
1,PET필름(1차재심),392062,인도,튀르키예,2012.05,6,0.39279220242478635,0.13093073414159545,0.6546536707079772,,0.13093073414159545,1,0.0,570776.0,412.0
1,PET필름(1차재심),392062,인도,포루투갈,2012.05,6,-0.13093073414159545,-0.39279220242478635,0.39279220242478635,0.13093073414159545,-0.39279220242478635,1,0.39279220242478635,570776.0,950.0
1,PET필름(1차재심),392062,인도,프랑스,2012.05,6,0.2704493615131253,-0.13522468075656266,0.030358837035945815,-0.5161002296110789,-0.5161002296110789,3,0.5161002296110789,570776.0,40963.0
1,PET필름(1차재심),392062,인도,필리핀,2012.05,6,0.5408987230262506,0.6546536707079772,-0.6546536707079772,-0.5408987230262506,-0.6546536707079772,2,0.6546536707079772,570776.0,2899.0
1,PET필름(1차재심),392062,인도,호주,2012.05,6,0.13093073414159545,0.6546536707079772,,,0.13093073414159545,0,0.0,570776.0,48.0
1,PET필름(1차재심),392062,인도,홍콩,2012.05,6,0.49280538030458115,0.46381682852195877,-0.49280538030458115,-0.5428571428571429,-0.5428571428571429,3,0.5428571428571429,570776.0,5272.0
1,PET필름(1차재심),392062,중국,대만,2012.05,6,0.3714285714285715,-0.6571428571428573,0.8857142857142858,-0.7714285714285715,-0.7714285714285715,3,0.7714285714285715,786489.0,2912913.0
1,PET필름(1차재심),392062,중국,독일,2012.05,6,0.2,0.028571428571428574,0.4285714285714286,-0.6,-0.6,3,0.6,786489.0,52262.0
1,PET필름(1차재심),392062,중국,룩셈부르그,2012.05,6,0.48571428571428577,-0.028571428571428574,0.7142857142857143,-0.2571428571428572,-0.2571428571428572,3,0.2571428571428572,786489.0,13091.0
1,PET필름(1차재심),392062,중국,말레이시아,2012.05,6,0.15179418517972906,-0.21251185925162072,-0.3768511731740915,-0.5217939320872036,-0.5217939320872036,3,0.5217939320872036,786489.0,164008.0
1,PET필름(1차재심),392062,중국,미국,2012.05,6,0.7142857142857143,-0.4285714285714286,0.14285714285714288,-0.6,-0.6,3,0.6,786489.0,252305.0
1,PET필름(1차재심),392062,중국,베트남,2012.05,6,,,,-0.6546536707079772,-0.6546536707079772,3,0.6546536707079772,786489.0,499.0
1,PET필름(1차재심),392062,중국,벨기에,2012.05,6,0.6546536707079772,-0.5408987230262506,0.3718678720805473,-0.8451542547285166,-0.8451542547285166,3,0.8451542547285166,786489.0,1638.0
1,PET필름(1차재심),392062,중국,스위스,2012.05,6,,-0.6546536707079772,0.39279220242478635,-0.8451542547285166,-0.8451542547285166,3,0.8451542547285166,786489.0,20.0
1,PET필름(1차재심),392062,중국,스페인,2012.05,6,-0.39279220242478635,0.6546536707079772,-0.13093073414159545,0.13093073414159545,-0.39279220242478635,0,0.39279220242478635,786489.0,5.0
1,PET필름(1차재심),392062,중국,싱가포르,2012.05,6,0.5428571428571429,0.08571428571428573,0.48571428571428577,-0.4285714285714286,-0.4285714285714286,3,0.4285714285714286,786489.0,177831.0
1,PET필름(1차재심),392062,중국,아랍에미리트 연합,2012.05,6,0.2571428571428572,-0.5428571428571429,0.7142857142857143,-0.6,-0.6,3,0.6,786489.0,563231.0
1,PET필름(1차재심),392062,중국,영국,2012.05,6,0.48571428571428577,-0.6,0.08571428571428573,-0.028571428571428574,-0.6,1,0.6,786489.0,9993.0
1,PET필름(1차재심),392062,중국,오스트리아,2012.05,6,0.30425553170226594,-0.5768179036829705,-0.030358837035945815,-0.101418510567422,-0.5768179036829705,1,0.5768179036829705,786489.0,3284.0
1,PET필름(1차재심),392062,중국,이탈리아,2012.05,6,0.21251185925162072,-0.6982532518267538,-0.030358837035945815,-0.6087595874350709,-0.6982532518267538,1,0.6982532518267538,786489.0,17296.0
1,PET필름(1차재심),392062,중국,인도네시아,2012.05,6,0.3142857142857143,0.14285714285714288,-0.3142857142857143,0.08571428571428573,-0.3142857142857143,2,0.3142857142857143,786489.0,2220681.0
1,PET필름(1차재심),392062,중국,일본,2012.05,6,0.4285714285714286,-0.6,0.6,-0.3142857142857143,-0.6,1,0.6,786489.0,13846740.0
1,PET필름(1차재심),392062,중국,캐나다,2012.05,6,0.033806170189140665,0.13093073414159545,,,0.033806170189140665,0,0.0,786489.0,120.0
1,PET필름(1차재심),392062,중국,태국,2012.05,6,0.6,-0.6571428571428573,0.4285714285714286,-0.6,-0.6571428571428573,1,0.6571428571428573,786489.0,2551966.0
1,PET필름(1차재심),392062,중국,튀르키예,2012.05,6,0.6546536707079772,-0.13093073414159545,0.13093073414159545,,-0.13093073414159545,1,0.13093073414159545,786489.0,412.0
1,PET필름(1차재심),392062,중국,포루투갈,2012.05,6,0.39279220242478635,-0.39279220242478635,0.6546536707079772,-0.13093073414159545,-0.39279220242478635,1,0.39279220242478635,786489.0,950.0
1,PET필름(1차재심),392062,중국,프랑스,2012.05,6,0.8451542547285166,-0.3718678720805473,-0.21251185925162072,-0.15179418517972906,-0.3718678720805473,1,0.3718678720805473,786489.0,40963.0
1,PET필름(1차재심),392062,중국,필리핀,2012.05,6,-0.033806170189140665,0.13093073414159545,-0.6546536707079772,-0.06761234037828133,-0.6546536707079772,2,0.6546536707079772,786489.0,2899.0
1,PET필름(1차재심),392062,중국,호주,2012.05,6,-0.13093073414159545,0.13093073414159545,,,-0.13093073414159545,0,0.13093073414159545,786489.0,48.0
1,PET필름(1차재심),392062,중국,홍콩,2012.05,6,-0.057977103565244846,0.1449427589131121,-0.3188740696088466,-0.48571428571428577,-0.48571428571428577,3,0.48571428571428577,786489.0,5272.0
2,크라프트지(1차재심),4804,미국,남아프리카공화국,2012.04,6,-0.2,-0.5797710356524484,-0.33394720739540396,-0.030358837035945815,-0.5797710356524484,1,0.5797710356524484,38073287.0,499598.0
2,크라프트지(1차재심),4804,미국,네덜란드,2012.04,6,0.3714285714285715,-0.6,-0.48571428571428577,-0.3714285714285715,-0.6,1,0.6,38073287.0,444956.0
2,크라프트지(1차재심),4804,미국,뉴질랜드,2012.04,6,-0.028571428571428574,-0.8285714285714287,-0.4285714285714286,-0.6571428571428573,-0.8285714285714287,1,0.8285714285714287,38073287.0,12700216.0
2,크라프트지(1차재심),4804,미국,대만,2012.04,6,-0.2571428571428572,-0.3714285714285715,-0.2,-0.2,-0.3714285714285715,1,0.3714285714285715,38073287.0,2606499.0
2,크라프트지(1차재심),4804,미국,덴마크,2012.04,6,-0.6546536707079772,-0.39279220242478635,,,-0.6546536707079772,0,0.6546536707079772,38073287.0,200.0
2,크라프트지(1차재심),4804,미국,독일,2012.04,6,-0.14285714285714288,-0.08571428571428573,-0.08571428571428573,-0.48571428571428577,-0.48571428571428577,3,0.48571428571428577,38073287.0,267634.0
2,크라프트지(1차재심),4804,미국,러시아 연방,2012.04,6,-0.3142857142857143,-0.6571428571428573,0.5428571428571429,-0.08571428571428573,-0.6571428571428573,1,0.6571428571428573,38073287.0,8817813.0
2,크라프트지(1차재심),4804,미국,말레이시아,2012.04,6,-0.4394802124588286,0.6546536707079772,0.13093073414159545,-0.6546536707079772,-0.6546536707079772,3,0.6546536707079772,38073287.0,247.0
2,크라프트지(1차재심),4804,미국,베트남,2012.04,6,0.6546536707079772,0.13093073414159545,-0.6546536707079772,-0.39279220242478635,-0.6546536707079772,2,0.6546536707079772,38073287.0,1458.0
2,크라프트지(1차재심),4804,미국,벨기에,2012.04,6,-0.6546536707079772,-0.39279220242478635,,0.39279220242478635,-0.6546536707079772,0,0.6546536707079772,38073287.0,102.0
2,크라프트지(1차재심),4804,미국,보스니아-헤르체고비나,2012.04,6,-0.14285714285714288,-0.8116794499134279,0.030358837035945815,-0.13522468075656266,-0.8116794499134279,1,0.8116794499134279,38073287.0,916954.0
2,크라프트지(1차재심),4804,미국,브라질,2012.04,6,0.06761234037828133,0.13093073414159545,-0.6546536707079772,0.101418510567422,-0.6546536707079772,2,0.6546536707079772,38073287.0,44783.0
2,크라프트지(1차재심),4804,미국,스웨덴,2012.04,6,-0.028571428571428574,0.3714285714285715,-0.08571428571428573,-0.942857142857143,-0.942857142857143,3,0.942857142857143,38073287.0,11160958.0
2,크라프트지(1차재심),4804,미국,스위스,2012.04,6,0.39279220242478635,-0.13093073414159545,0.6546536707079772,0.13093073414159545,-0.13093073414159545,1,0.13093073414159545,38073287.0,5.0
2,크라프트지(1차재심),4804,미국,스페인,2012.04,6,-0.2704493615131253,-0.6546536707079772,-0.101418510567422,0.2704493615131253,-0.6546536707079772,1,0.6546536707079772,38073287.0,34589.0
2,크라프트지(1차재심),4804,미국,싱가포르,2012.04,6,0.39279220242478635,-0.13093073414159545,0.6546536707079772,0.13093073414159545,-0.13093073414159545,1,0.13093073414159545,38073287.0,20.0
2,크라프트지(1차재심),4804,미국,에스토니아,2012.04,6,-0.3142857142857143,-0.08571428571428573,-0.5507824838698261,-0.40583972495671394,-0.5507824838698261,2,0.5507824838698261,38073287.0,2443976.0
2,크라프트지(1차재심),4804,미국,영국,2012.04,6,0.3714285714285715,0.028571428571428574,0.2571428571428572,-0.6,-0.6,3,0.6,38073287.0,105459.0
2,크라프트지(1차재심),4804,미국,오스트리아,2012.04,6,-0.08571428571428573,-0.4285714285714286,0.08571428571428573,-0.8285714285714287,-0.8285714285714287,3,0.8285714285714287,38073287.0,5910907.0
2,크라프트지(1차재심),4804,미국,우크라이나,2012.04,6,-0.13093073414159545,0.6546536707079772,0.13093073414159545,-0.6546536707079772,-0.6546536707079772,3,0.6546536707079772,38073287.0,51.0
2,크라프트지(1차재심),4804,미국,이탈리아,2012.04,6,-0.2732295333235123,-0.33394720739540396,-0.09107651110783746,-0.5161002296110789,-0.5161002296110789,3,0.5161002296110789,38073287.0,68663.0
2,크라프트지(1차재심),4804,미국,일본,2012.04,6,-0.2,-0.5428571428571429,-0.08571428571428573,-0.08571428571428573,-0.5428571428571429,1,0.5428571428571429,38073287.0,22857901.0
2,크라프트지(1차재심),4804,미국,체코공화국,2012.04,6,-0.6571428571428573,-0.9276336570439175,0.23190841426097938,0.23190841426097938,-0.9276336570439175,1,0.9276336570439175,38073287.0,425863.0
