pair_id,사건번호,품목,hs_code,규제국,중간국,수입국,reporter_code,periods,flow_code,isr_min,isr_best_lag,isr_risk,flow_type,partner_code,partner_country
17,13,공기압 전송용 밸브,848120,일본,폴란드,대한민국,392,"201508,201509,201510,201511,201512,201601,201602,201603,201604",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,616,폴란드
17,13,공기압 전송용 밸브,848120,일본,폴란드,대한민국,392,"201508,201509,201510,201511,201512,201601,201602,201603,201604",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
18,19,PET필름(2차재심),392062,중국,이탈리아,대한민국,156,"201601,201602,201603,201604,201605,201606,201607,201608,201609",X,-0.942857142857143,0,0.942857142857143,regulated_to_intermediary,380,이탈리아
18,19,PET필름(2차재심),392062,중국,이탈리아,대한민국,156,"201601,201602,201603,201604,201605,201606,201607,201608,201609",X,-0.942857142857143,0,0.942857142857143,regulated_to_importer,410,대한민국
19,19,PET필름(2차재심),392062,중국,인도네시아,대한민국,156,"201601,201602,201603,201604,201605,201606,201607,201608,201609",X,-0.942857142857143,0,0.942857142857143,regulated_to_intermediary,360,인도네시아
19,19,PET필름(2차재심),392062,중국,인도네시아,대한민국,156,"201601,201602,201603,201604,201605,201606,201607,201608,201609",X,-0.942857142857143,0,0.942857142857143,regulated_to_importer,410,대한민국
20,22,합판(2차재심),4412,말레이시아,미국,대한민국,458,"201705,201706,201707,201708,201709,201710,201711,201712,201801",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,842,미국
20,22,합판(2차재심),4412,말레이시아,미국,대한민국,458,"201705,201706,201707,201708,201709,201710,201711,201712,201801",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
21,22,합판(2차재심),4412,말레이시아,베트남,대한민국,458,"201705,201706,201707,201708,201709,201710,201711,201712,201801",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,704,베트남
21,22,합판(2차재심),4412,말레이시아,베트남,대한민국,458,"201705,201706,201707,201708,201709,201710,201711,201712,201801",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
22,31,OPP필름(1차재심),392020,중국,베트남,대한민국,156,"201908,201909,201910,201911,201912,202001,202002,202003,202004",X,-0.942857142857143,2,0.942857142857143,regulated_to_intermediary,704,베트남
22,31,OPP필름(1차재심),392020,중국,베트남,대한민국,156,"201908,201909,201910,201911,201912,202001,202002,202003,202004",X,-0.942857142857143,2,0.942857142857143,regulated_to_importer,410,대한민국
23,34,합판,4412,말레이시아,스페인,대한민국,458,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,724,스페인
23,34,합판,4412,말레이시아,스페인,대한민국,458,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
24,35,합판,4412,중국,일본,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,392,일본
24,35,합판,4412,중국,일본,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
25,36,합판,4412,베트남,벨기에,대한민국,704,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,56,벨기에
25,36,합판,4412,베트남,벨기에,대한민국,704,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
26,41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,미국,대한민국,156,"202211,202212,202301,202302,202303,202304,202305,202306,202307",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,842,미국
26,41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,미국,대한민국,156,"202211,202212,202301,202302,202303,202304,202305,202306,202307",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
27,48,도공(coated) 인쇄용지,4810,중국,필리핀,대한민국,156,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,608,필리핀
27,48,도공(coated) 인쇄용지,4810,중국,필리핀,대한민국,156,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
28,48,도공(coated) 인쇄용지,4810,핀란드,이탈리아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.942857142857143,2,0.942857142857143,regulated_to_intermediary,380,이탈리아
28,48,도공(coated) 인쇄용지,4810,핀란드,이탈리아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.942857142857143,2,0.942857142857143,regulated_to_importer,410,대한민국
29,50,합판,4412,중국,인도네시아,대한민국,156,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,1,0.942857142857143,regulated_to_intermediary,360,인도네시아
29,50,합판,4412,중국,인도네시아,대한민국,156,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,1,0.942857142857143,regulated_to_importer,410,대한민국
30,51,합판,4412,말레이시아,라트비아,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,3,0.942857142857143,regulated_to_intermediary,428,라트비아
30,51,합판,4412,말레이시아,라트비아,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,3,0.942857142857143,regulated_to_importer,410,대한민국
31,51,합판,4412,말레이시아,헝가리,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,3,0.942857142857143,regulated_to_intermediary,348,헝가리
31,51,합판,4412,말레이시아,헝가리,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.942857142857143,3,0.942857142857143,regulated_to_importer,410,대한민국
