request_key,status,rows,error
"27|regulated_to_intermediary|156|608|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"27|regulated_to_importer|156|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"28|regulated_to_intermediary|246|380|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,20,
"28|regulated_to_importer|246|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,18,
"29|regulated_to_intermediary|156|360|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,6,
"29|regulated_to_importer|156|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,6,
"30|regulated_to_intermediary|458|428|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,6,
"30|regulated_to_importer|458|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,18,
"31|regulated_to_intermediary|458|348|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"31|regulated_to_importer|458|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,18,
"32|regulated_to_intermediary|458|757|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,0,
"32|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"33|regulated_to_intermediary|458|826|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"33|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"34|regulated_to_intermediary|156|579|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"34|regulated_to_importer|156|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"35|regulated_to_intermediary|699|380|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,9,
"35|regulated_to_importer|699|410|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,9,
"36|regulated_to_intermediary|842|203|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,4,
"36|regulated_to_importer|842|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"37|regulated_to_intermediary|156|233|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,1,
"37|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"38|regulated_to_intermediary|156|251|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"38|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"39|regulated_to_intermediary|156|251|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"39|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"40|regulated_to_intermediary|156|251|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"40|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"41|regulated_to_intermediary|458|152|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"41|regulated_to_importer|458|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,18,
"42|regulated_to_intermediary|724|156|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,56,
"42|regulated_to_importer|724|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"43|regulated_to_intermediary|392|203|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,0,
"43|regulated_to_importer|392|410|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,8,
"44|regulated_to_intermediary|764|48|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,8,
"44|regulated_to_importer|764|410|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,27,
"45|regulated_to_intermediary|156|158|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"45|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"46|regulated_to_intermediary|156|643|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,3,
"46|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"47|regulated_to_intermediary|124|40|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"47|regulated_to_importer|124|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"48|regulated_to_intermediary|392|156|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,9,
"48|regulated_to_importer|392|410|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,8,
"49|regulated_to_intermediary|699|842|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"49|regulated_to_importer|699|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"50|regulated_to_intermediary|699|156|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"50|regulated_to_importer|699|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"51|regulated_to_intermediary|156|704|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"51|regulated_to_importer|156|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"52|regulated_to_intermediary|392|458|392062|201412,201501,201502,201503,201504,201505,201506,201507,201508",ok,9,
"52|regulated_to_importer|392|410|392062|201412,201501,201502,201503,201504,201505,201506,201507,201508",ok,9,
"53|regulated_to_intermediary|156|246|441232|201603,201604,201605,201606,201607,201608,201609,201610,201611",ok,7,
"53|regulated_to_importer|156|410|441232|201603,201604,201605,201606,201607,201608,201609,201610,201611",ok,9,
"54|regulated_to_intermediary|156|392|370130|201709,201710,201711,201712,201801,201802,201803,201804,201805",ok,9,
"54|regulated_to_importer|156|410|370130|201709,201710,201711,201712,201801,201802,201803,201804,201805",ok,9,
"55|regulated_to_intermediary|764|344|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,15,
