사건번호,품목,hs_code,규제국,후보국,분석시작월,sr_min,sr_best_lag,sr_risk
48,도공(coated) 인쇄용지,4810,일본,태국,2024.03,-0.8827348295047495,3,0.8827348295047495
40,플로트판유리,7005,중국,라트비아,2022.04,-0.8804062740424288,3,0.8804062740424288
52,합판,4412,베트남,스페인,2024.07,-0.8804062740424288,2,0.8804062740424288
56,석유수지,391110,대만,프랑스,2025.08,-0.8804062740424288,2,0.8804062740424288
36,합판,4412,베트남,필리핀,2020.11,-0.8696565534786727,1,0.8696565534786727
44,이음매없는동관,7411,베트남,체코공화국,2023.03,-0.8696565534786727,3,0.8696565534786727
1,PET필름(1차재심),392062,인도,벨기에,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,인도,스위스,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,중국,벨기에,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,중국,스위스,2012.05,-0.8451542547285166,3,0.8451542547285166
2,크라프트지(1차재심),4804,중국,브라질,2012.04,-0.8451542547285166,3,0.8451542547285166
6,스테인레스스틸바(2차재심),7222,일본,필리핀,2013.11,-0.8451542547285166,3,0.8451542547285166
7,합판,4412,중국,우루과이,2013.11,-0.8451542547285166,0,0.8451542547285166
7,합판,4412,중국,인도,2013.11,-0.8451542547285166,3,0.8451542547285166
7,합판,4412,중국,필리핀,2013.11,-0.8451542547285166,0,0.8451542547285166
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,벨라루스,2013.12,-0.8451542547285166,2,0.8451542547285166
9,OPP필름,392020,중국,튀르키예,2013.12,-0.8451542547285166,2,0.8451542547285166
9,OPP필름,392020,태국,스위스,2013.12,-0.8451542547285166,0,0.8451542547285166
10,합판(1차재심),4412,말레이시아,싱가포르,2014.09,-0.8451542547285166,2,0.8451542547285166
10,합판(1차재심),4412,말레이시아,캐나다,2014.09,-0.8451542547285166,1,0.8451542547285166
14,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
15,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
16,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
29,초산에틸(3차재심),291531,일본,영국,2019.07,-0.8451542547285166,3,0.8451542547285166
29,초산에틸(3차재심),291531,중국,남아프리카공화국,2019.07,-0.8451542547285166,3,0.8451542547285166
32,PET필름(3차재심),392062,인도,아랍에미리트 연합,2019.09,-0.8451542547285166,1,0.8451542547285166
36,합판,4412,베트남,라오스,2020.11,-0.8451542547285166,3,0.8451542547285166
37,스테인리스스틸바,7222,인도,아일랜드,2021.01,-0.8451542547285166,3,0.8451542547285166
39,PET필름,392062,대만,룩셈부르그,2021.12,-0.8451542547285166,2,0.8451542547285166
39,PET필름,392062,대만,튀르키예,2021.12,-0.8451542547285166,1,0.8451542547285166
39,PET필름,392062,태국,룩셈부르그,2021.12,-0.8451542547285166,2,0.8451542547285166
39,PET필름,392062,태국,튀르키예,2021.12,-0.8451542547285166,1,0.8451542547285166
48,도공(coated) 인쇄용지,4810,중국,벨기에,2024.03,-0.8451542547285166,0,0.8451542547285166
48,도공(coated) 인쇄용지,4810,중국,스페인,2024.03,-0.8451542547285166,1,0.8451542547285166
48,도공(coated) 인쇄용지,4810,중국,캐나다,2024.03,-0.8451542547285166,2,0.8451542547285166
51,합판,4412,말레이시아,슬로바키아,2024.07,-0.8451542547285166,3,0.8451542547285166
52,합판,4412,베트남,슬로바키아,2024.07,-0.8451542547285166,3,0.8451542547285166
55,스테인리스강 냉간압연제품,7220,베트남,대만,2025.07,-0.8451542547285166,3,0.8451542547285166
2,크라프트지(1차재심),4804,인도네시아,독일,2012.04,-0.8451542547285165,0,0.8451542547285165
43,부틸글리콜에테르,290943,사우디아라비아,일본,2022.09,-0.8451542547285165,1,0.8451542547285165
0,초산에틸(1차재심),291531,일본,미국,2012.03,-0.8406680016960503,1,0.8406680016960503
20,침엽수 합판,441232,중국,독일,2016.03,-0.8406680016960503,3,0.8406680016960503
26,PET필름,392062,대만,홍콩,2018.04,-0.8406680016960503,3,0.8406680016960503
33,스테인리스 스틸바,7222,일본,프랑스,2020.05,-0.8406680016960503,3,0.8406680016960503
53,PET수지,390761,중국,대만,2024.11,-0.8406680016960503,2,0.8406680016960503
46,수산화알루미늄,281830,호주,체코공화국,2023.04,-0.840168050416806,1,0.840168050416806
48,도공(coated) 인쇄용지,4810,일본,네덜란드,2024.03,-0.8332380897952965,0,0.8332380897952965
2,크라프트지(1차재심),4804,미국,뉴질랜드,2012.04,-0.8285714285714287,1,0.8285714285714287
2,크라프트지(1차재심),4804,미국,오스트리아,2012.04,-0.8285714285714287,3,0.8285714285714287
2,크라프트지(1차재심),4804,미국,폴란드,2012.04,-0.8285714285714287,1,0.8285714285714287
2,크라프트지(1차재심),4804,중국,보스니아-헤르체고비나,2012.04,-0.8285714285714287,0,0.8285714285714287
2,크라프트지(1차재심),4804,중국,태국,2012.04,-0.8285714285714287,0,0.8285714285714287
2,크라프트지(1차재심),4804,중국,프랑스,2012.04,-0.8285714285714287,3,0.8285714285714287
2,크라프트지(1차재심),4804,캐나다,러시아 연방,2012.04,-0.8285714285714287,1,0.8285714285714287
2,크라프트지(1차재심),4804,캐나다,핀란드,2012.04,-0.8285714285714287,3,0.8285714285714287
6,스테인레스스틸바(2차재심),7222,인도,오스트리아,2013.11,-0.8285714285714287,3,0.8285714285714287
6,스테인레스스틸바(2차재심),7222,일본,이탈리아,2013.11,-0.8285714285714287,1,0.8285714285714287
7,합판,4412,중국,오스트리아,2013.11,-0.8285714285714287,3,0.8285714285714287
