사건번호,국가,품목,hs_code,년월,수입량,수입총달러,단가,관세부과범위,부과시작일,부과종료일,규제국목록,규제국여부
0,미국,초산에틸(1차재심),291531,2013.02,901.0,7295.0,8.096559378468369,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.03,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.04,11.0,319.0,29.0,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.05,18.0,548.0,30.444444444444443,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.06,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.07,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.08,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.09,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.10,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.11,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2012.12,510.0,2730.0,5.352941176470588,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2013.01,4.0,83.0,20.75,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스웨덴,초산에틸(1차재심),291531,2013.02,3.0,61.0,20.333333333333332,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.03,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.04,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.05,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.06,1077.0,2724.0,2.5292479108635098,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.07,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.08,1260.0,2331.0,1.85,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.09,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.10,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.11,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2012.12,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2013.01,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,스페인,초산에틸(1차재심),291531,2013.02,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.03,558.0,2446.0,4.383512544802867,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.04,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.05,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.06,186.0,705.0,3.7903225806451615,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.07,372.0,1536.0,4.129032258064516,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.08,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.09,186.0,703.0,3.7795698924731185,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.10,370.0,1629.0,4.402702702702703,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
